168	00003092-eac2-5340-b089-e36cc5d5ca14	http://www.organismnames.com/details.htm?lsid=647295	126178838				Species	126178838			
169	00003347-986d-53c4-824b-3c7991e91560	http://www.ubio.org/browser/details.php?namebankID=9916821	102701498	urn:lsid:ubio.org:namebank:9916821	urn:lsid:ubio.org:namebank:9916821			102701498	|Callichrus affinis		kingdom|
164	00003347-986d-53c4-824b-3c7991e91560	http://www.biolib.cz/en/taxon/id160372/	141810841				Species	141810841			
155	00003347-986d-53c4-824b-3c7991e91560	http://www.fishbase.org/summary/speciessummary.php?id=6535	141454027				Species	141454027			
12	00003347-986d-53c4-824b-3c7991e91560	http://eol.org/pages/208989/names/synonyms	s_9035962		208989		species	34336782			
11	00003347-986d-53c4-824b-3c7991e91560		2337679				species	2337651	Animalia|Chordata|Actinopterygii|Siluriformes|Siluridae|Ompok|Ompok bimaculatus	1|44|204|708|5168|2337634|2337651	kingdom|phylum|class|order|family|genus|species
9	00003347-986d-53c4-824b-3c7991e91560	http://www.marinespecies.org/aphia.php?p=taxdetails&id=281881	'281881'				species	281881	Animalia|Chordata|Actinopterygii|Siluriformes|Siluridae|Ompok|Ompok bimaculatus	gn:3uL60ncMV0CLLRfxOOBRdQ|gn:0nPgiA8cWdWSAg1iZqIs6Q|gn:_UNmPgNyUVCvGlWbfQ8O6A|gn:G9-mFf4TVhOkmABCCwhf9Q|gn:-cKml1KPUd6e9V5xR1d58Q|gn:cWLxT9X7XQeii17kCh7GEg|281881	kingdom|phylum|class|order|family|genus|species
8	00003347-986d-53c4-824b-3c7991e91560		10161616				species	10154462	Animalia|Chordata|Actinopterygii|Siluriformes|Siluridae|Ompok|Ompok bimaculatus	11|148|1530|11492|114266|1018957|10154462	kingdom|phylum|class|order|family|genus|species
1	00003347-986d-53c4-824b-3c7991e91560		21100092				species	21114743	Animalia|Chordata|Actinopterygii|Siluriformes|Siluridae|Ompok|Ompok bimaculatus	21835313|21835362|21835648|21837189|21837458|21852265|21114743	kingdom|phylum|class|order|family|genus|species
7	00003348-ee6a-55dc-a0bd-72761dfa42ba		12293296					12293296	|Cellular life|Eukaryota|Opisthokonts|Choanoflagellates and animals|Animalia|Epitheliates|Bilateria|Ecdysozoa|Legged ecdysozoa|Arthropoda|Hexapods|Insecta|Pterygota|Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Buprestidae|Agrilinae|Agrilini|Agrilina|Agrilus|Agrilus taoi	2822864|2823207|2828118|2843765|2843766|2843767|2843768|17974913|2910040|2910041|2910042|2913524|2913525|2922935|2932506|2936299|2957861|20432391|2936564|2936565|2936566|2936567|2936571|12293296	|above family|above family|above family|above family|unranked|above family|above family|above family|above family|above family|above family|above family|above family|above family|above family|above family||family|subfamily|tribe|subtribe|genus|
169	00003501-6b3a-5c97-a2f1-6924f27d8f3b	http://www.ubio.org/browser/details.php?namebankID=2248852	95493192	urn:lsid:ubio.org:namebank:2248852	urn:lsid:ubio.org:namebank:2248852			95493192	|Craticulina digressum		kingdom|
11	00003501-6b3a-5c97-a2f1-6924f27d8f3b		4787493				species	4787493	Animalia|Arthropoda|Insecta|Diptera|Sarcophagidae|Craticulina|Craticulina digressum	1|54|216|811|9508|1482543|4787493	kingdom|phylum|class|order|family|genus|species
8	00003501-6b3a-5c97-a2f1-6924f27d8f3b		10483309				species	10483309	Animalia|Arthropoda|Insecta|Diptera|Sarcophagidae|Craticulina|Craticulina digressum	11|235|1096|10063|110803|1200072|10483309	kingdom|phylum|class|order|family|genus|species
11	00003515-a184-5187-bdea-9998dd2c63b7		1737843				species	1737843	Animalia|Arthropoda|Insecta|Lepidoptera|Tortricoidea|Tortricidae|Cydia|Cydia rungsi	1|54|216|797|1845|5343|1737701|1737843	kingdom|phylum|class|order|superfamily|family|genus|species
8	00003515-a184-5187-bdea-9998dd2c63b7		11053435				species	11053435	Animalia|Arthropoda|Insecta|Lepidoptera|Tortricidae|Cydia|Cydia rungsi	11|235|1096|12144|103478|1280331|11053435	kingdom|phylum|class|order|family|genus|species
169	0000353d-95ef-531d-9f58-d3c139819e85	http://www.ubio.org/browser/details.php?namebankID=7349969	100247740	urn:lsid:ubio.org:namebank:7349969	urn:lsid:ubio.org:namebank:7349969			100247740	|Crossidius coralinus coralinus		kingdom|
169	00003549-845a-5427-92e9-1416c35a94ed	http://www.ubio.org/browser/details.php?namebankID=6265447	99181537	urn:lsid:ubio.org:namebank:6265447	urn:lsid:ubio.org:namebank:6265447			99181537	|Platygaster canestrinii		kingdom|
169	0000381d-f24e-529b-8047-7bf5a094fbd6	http://www.ubio.org/browser/details.php?namebankID=5715377	98646441	urn:lsid:ubio.org:namebank:5715377	urn:lsid:ubio.org:namebank:5715377			98646441	|Mesomorphus werneri		kingdom|
170	00003a4b-16d8-58f1-9f1a-f38ea5cebb27		1798650		1798650			1798650	Plantae|Tracheophyta|Magnoliopsida|Rosales|Saxifragaceae|Mitella|Mitella stauropetala		kingdom|phylum|class|order|family|genus|
169	00003a4b-16d8-58f1-9f1a-f38ea5cebb27	http://www.ubio.org/browser/details.php?namebankID=2649715	95859992	urn:lsid:ubio.org:namebank:2649715	urn:lsid:ubio.org:namebank:2649715			95859992	|Mitella stauropetala		kingdom|
159	00003a4b-16d8-58f1-9f1a-f38ea5cebb27		106021134				Species	106021134			
12	00003a4b-16d8-58f1-9f1a-f38ea5cebb27	http://eol.org/pages/584043	28868521		584043		species	28868521			
4	00003a4b-16d8-58f1-9f1a-f38ea5cebb27		40800				species	40800	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Mesangiospermae||Gunneridae|Pentapetalae|Saxifragales|Saxifragaceae|Mitella|Mitella stauropetala	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|41946|3792|40794|40800	|superkingdom|kingdom|phylum|||||||||||order|family|genus|species
11	00003b2b-3c17-511d-a0fa-334a371c7613		6004687				species	6004687	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinoidea|Hydraenidae|Hydraena|Hydraena sautakei	1|54|216|1470|1583|7829|1039107|6004687	kingdom|phylum|class|order|superfamily|family|genus|species
169	00003c86-b045-50e4-abb5-9ac5af982a14	http://www.ubio.org/browser/details.php?namebankID=7105746	100020059	urn:lsid:ubio.org:namebank:7105746	urn:lsid:ubio.org:namebank:7105746			100020059	|Milax budapestiensis		kingdom|
168	00003c86-b045-50e4-abb5-9ac5af982a14	http://www.organismnames.com/details.htm?lsid=96519	125655820				Species	125655820			
168	00003f2f-c6a6-510c-b1cb-f755b3fb1fc7	http://www.organismnames.com/details.htm?lsid=4105163	129436344				Species	129436344			
168	00003f33-8eca-5b50-9afc-eead221c2c9f	http://www.organismnames.com/details.htm?lsid=470597	126012922				Species	126012922			
11	00003f51-3b44-5796-bb86-a3339bc13682		1328829				species	1328829	Animalia|Arthropoda|Insecta|Hymenoptera|Vespoidea|Eumenidae|Macrocalymma|Macrocalymma insignis	1|54|216|1457|1629|4240|1328827|1328829	kingdom|phylum|class|order|superfamily|family|genus|species
1	00003f51-3b44-5796-bb86-a3339bc13682		9685632				species	9685632	Animalia|Arthropoda|Insecta|Hymenoptera|Vespoidea|Eumenidae|Macrocalymma|Macrocalymma insignis	21835313|21835328|21835526|21835737|21837535|21837621|21877948|9685632	kingdom|phylum|class|order|superfamily|family|genus|species
168	00003fc0-7699-56b2-b725-cf2f433e0391	http://www.organismnames.com/details.htm?lsid=3159760	128491878				Species	128491878			
168	000040ef-9c70-5bf4-988f-71c5dcde88cb	http://www.organismnames.com/details.htm?lsid=674620	126203956				Species	126203956			
169	000042ae-1121-5b5c-8810-22ed37967941	http://www.ubio.org/browser/details.php?namebankID=6918430	99833122	urn:lsid:ubio.org:namebank:6918430	urn:lsid:ubio.org:namebank:6918430			99833122	|Furgasonia sorex		kingdom|
168	000042ae-1121-5b5c-8810-22ed37967941	http://www.organismnames.com/details.htm?lsid=267032	125819498				Species	125819498			
170	00004367-40ed-5364-a7cb-e4fea63e4690		10695679		10695679			10695679	Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Hipporrhinus|Hipporrhinus bertinae		kingdom|phylum|class|order|family|genus|
1	00004367-40ed-5364-a7cb-e4fea63e4690		7837453				species	7837453	Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Hipporrhinus|Hipporrhinus bertinae	21835313|21835328|21835526|21835527|21835765|21837623|21926916|7837453	kingdom|phylum|class|order|superfamily|family|genus|species
168	000044a4-d8f6-5b0e-a46e-35acfd981aaa	http://www.organismnames.com/details.htm?lsid=1619283	127056006				Species	127056006			
172	000044d6-07ae-5596-a0be-e455b2787707		83794				genus	83794	Eucarya|Opisthokonta|Metazoa|Eumetazoa|Triploblastica|Nephrozoa|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Dipnotetrapodomorpha|Tetrapodomorpha|Tetrapoda|Reptiliomorpha|Anthracosauria|Batrachosauria|Cotylosauria|Amniota|Synapsida|Therapsida|Cynodontia|Epicynodontia|Eucynodontia|Probainognathia|Mammaliamorpha|Mammaliaformes|Mammalia|Theriamorpha|Theriiformes|Trechnotheria|Cladotheria|Boreosphenida|Theria|Eutheria|Placentalia|Epitheria|Ungulata|Meridiungulata|Litopterna|Macraucheniidae|Macrauchenopsis	288516|212579|2|85325|67102|85323|67145|33815|67149|67344|34881|67348|219195|77135|53190|125547|37177|99766|56749|53189|38882|38935|39168|67366|39183|67452|67455|67456|36651|108999|137608|64369|57710|67561|39860|182911|91965|157609|67570|80763|43467|43493|83794	unranked clade|unranked clade|subkingdom|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|superclass|subclass|subclass|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|infraorder|unranked clade|infraorder|unranked clade|unranked clade|unranked clade|class|unranked clade|unranked clade|unranked clade|unranked clade|unranked clade|subclass|infraclass|unranked clade|unranked clade|unranked clade|unranked clade|order|family|genus
169	0000453b-13ed-51e3-afcd-f4caafb36292	http://www.ubio.org/browser/details.php?namebankID=177453	93870304	urn:lsid:ubio.org:namebank:177453	urn:lsid:ubio.org:namebank:177453			93870304			
168	0000453b-13ed-51e3-afcd-f4caafb36292	http://www.organismnames.com/details.htm?lsid=1371295	126851406				Genus	126851406			
12	0000453b-13ed-51e3-afcd-f4caafb36292	http://eol.org/pages/4580075	30317700		4580075		genus	30317700			
1	0000453b-13ed-51e3-afcd-f4caafb36292		21860836				genus	21860836	Animalia|Chordata|Actinopterygii|Perciformes|Nototheniidae|Lindbergichthys	21835313|21835362|21835648|21837583|21838478|21860836	kingdom|phylum|class|order|family|genus
170	0000457f-7cdc-5902-a39b-6d7e28144b44		2508536		2508536			2508536			
169	0000457f-7cdc-5902-a39b-6d7e28144b44	http://www.ubio.org/browser/details.php?namebankID=4913171	97895582	urn:lsid:ubio.org:namebank:4913171	urn:lsid:ubio.org:namebank:4913171			97895582			
149	0000465b-4a2c-5c8d-9570-cf798301b491	http://www.iobis.org/OBISWEB/ObisControllerServlet?category=all&names=data&a ction=lookupbyname&searchCategory=&classificationCode=&view=searchResults&ca tegory=&autocomplete=n&searchTypeSelect=%2FSciNameServlet&searchName=Hornera%20aotearoa%20whitten%20m	133889649					133889649			
